,Unnamed: 0,Equation Number,eqn,soln,metrics
19,19,26,"(1 + -2x) = ((-3) + -4x)
","(1 + -2x) = ((-3) + -4x)
|((1 + -2x) - -4x) = (((-3) + -4x) - -4x)|((1 + -2x) - -4x) = ((-3) + (-4x - -4x))|((1 + -2x) - -4x) = ((-3) + 0)|(1 + (-2x - -4x)) = ((-3) + 0)|((-2x - -4x) + 1) = ((-3) + 0)|((((-2) - (-4)) * x) + 1) = ((-3) + 0)|(((((-2) - (-4)) * x) + 1) - 1) = (((-3) + 0) - 1)|(((((-2) - (-4)) * x) + 1) - 1) = ((-3) - 1)|((((-2) - (-4)) * x) + (1 - 1)) = ((-3) - 1)|((((-2) - (-4)) * x) + 0) = ((-3) - 1)|(((-2) - (-4)) * x) = ((-3) - 1)|2x = ((-3) - 1)|(2x / 2) = (((-3) - 1) / 2)|((x * 2) / 2) = (((-3) - 1) / 2)|(x * (2 / 2)) = (((-3) - 1) / 2)|(x * 1) = (((-3) - 1) / 2)|x = (((-3) - 1) / 2)|x = ((-4) / 2)|x = (-2)",38
20,20,27,"((-1) + (2 / x)) = 3
","((-1) + (2 / x)) = 3
|((2 / x) + (-1)) = 3|(((2 / x) + (-1)) - (-1)) = (3 - (-1))|(((2 / x) + (-1)) - (-1)) = 4|((((2 / x) + (-1)) - (-1)) / 4) = (4 / 4)|(((((2 / x) + (-1)) - (-1)) / 4) * x) = ((4 / 4) * x)|(x * ((((2 / x) + (-1)) - (-1)) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + ((-1) - (-1))) / 4)) = ((4 / 4) * x)|(x * (((2 / x) + 0) / 4)) = ((4 / 4) * x)|(x * ((2 / x) / 4)) = ((4 / 4) * x)|((x * (2 / x)) / 4) = ((4 / 4) * x)|((x * (2 / x)) / 4) = 1x|(((x * 2) / x) / 4) = 1x|((2x / x) / 4) = 1x|((2 * (x / x)) / 4) = 1x|((2 * 1) / 4) = 1x|1x = ((2 * 1) / 4)|x = ((2 * 1) / 4)|x = (2 / 4)|x = [1/2]",44
21,21,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",8
22,22,30,"(1 / x) = 2
","(1 / x) = 2
|((1 / x) / 2) = (2 / 2)|(((1 / x) / 2) * x) = ((2 / 2) * x)|(((1 / x) / 2) * x) = 1x|(x * ((1 / x) / 2)) = 1x|((x * (1 / x)) / 2) = 1x|(((x * 1) / x) / 2) = 1x|((x / x) / 2) = 1x|1x = ((x / x) / 2)|x = ((x / x) / 2)|x = (1 / 2)|x = [1/2]",28
23,23,31,"((-1) + -2x) = (-3x + (-4))
","((-1) + -2x) = (-3x + (-4))
|(((-1) + -2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + -2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + -2x) - (-4))|(-3x + 0) = (((-1) + -2x) - (-4))|((-3x + 0) - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((-3x + 0) - -2x) = ((((-1) + -2x) - -2x) - (-4))|((-3x + 0) - -2x) = (((-1) + (-2x - -2x)) - (-4))|((-3x + 0) - -2x) = (((-1) + 0) - (-4))|((-3x + 0) - -2x) = ((-1) - (-4))|(-3x - -2x) = ((-1) - (-4))|(((-3) - (-2)) * x) = ((-1) - (-4))|-1x = ((-1) - (-4))|(x * (-1)) = ((-1) - (-4))|((x * (-1)) * (-1)) = (((-1) - (-4)) * (-1))|(x * ((-1) * (-1))) = (((-1) - (-4)) * (-1))|(x * 1) = (((-1) - (-4)) * (-1))|(x * 1) = (3 * (-1))|x = (3 * (-1))|x = (-3)",36
24,24,33,"1 = ((-2) + -3x)
","1 = ((-2) + -3x)
|(1 - (-2)) = (((-2) + -3x) - (-2))|(1 - (-2)) = ((-3x + (-2)) - (-2))|(1 - (-2)) = (-3x + ((-2) - (-2)))|(1 - (-2)) = ((x * (-3)) + ((-2) - (-2)))|((1 - (-2)) / (-3)) = (((x * (-3)) + ((-2) - (-2))) / (-3))|((1 - (-2)) / (-3)) = (((x * (-3)) + 0) / (-3))|((1 - (-2)) / (-3)) = ((x * (-3)) / (-3))|((x * (-3)) / (-3)) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = ((1 - (-2)) / (-3))|(x * ((-3) / (-3))) = (3 / (-3))|(x * 1) = (3 / (-3))|x = (3 / (-3))|x = (-1)",23
25,25,34,"((-1) - 2x) = (3x - 4)
","((-1) - 2x) = (3x - 4)
|(3x - 4) = ((-1) - 2x)|(3x + (-4)) = ((-1) - 2x)|((3x + (-4)) - (-4)) = (((-1) - 2x) - (-4))|(3x + ((-4) - (-4))) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) - 2x) - (-4))|(3x + 0) = (((-1) + -2x) - (-4))|3x = (((-1) + -2x) - (-4))|(3x - -2x) = ((((-1) + -2x) - (-4)) - -2x)|((3 - (-2)) * x) = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - (-4)) - -2x)|5x = ((((-1) + -2x) - -2x) - (-4))|5x = (((-1) + (-2x - -2x)) - (-4))|(x * 5) = (((-1) + (-2x - -2x)) - (-4))|((x * 5) / 5) = ((((-1) + (-2x - -2x)) - (-4)) / 5)|((x * 5) / 5) = ((((-1) + 0) - (-4)) / 5)|((x * 5) / 5) = (((-1) - (-4)) / 5)|(x * (5 / 5)) = (((-1) - (-4)) / 5)|(x * 1) = (((-1) - (-4)) / 5)|x = (((-1) - (-4)) / 5)|x = (3 / 5)|x = [3/5]",37
26,26,37,"((1 + 2) * x) = 3
","((1 + 2) * x) = 3
|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1",16
27,27,38,"1 = (2 + (3 / x))
","1 = (2 + (3 / x))
|(1 - 2) = ((2 + (3 / x)) - 2)|(1 - 2) = (((3 / x) + 2) - 2)|(-1) = (((3 / x) + 2) - 2)|((-1) * (-1)) = ((((3 / x) + 2) - 2) * (-1))|(((-1) * (-1)) * x) = (((((3 / x) + 2) - 2) * (-1)) * x)|1x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = (((((3 / x) + 2) - 2) * (-1)) * x)|x = ((((3 / x) + (2 - 2)) * (-1)) * x)|x = ((((3 / x) + 0) * (-1)) * x)|x = (((3 / x) * (-1)) * x)|x = (x * ((3 / x) * (-1)))|x = ((x * (3 / x)) * (-1))|x = (((x * 3) / x) * (-1))|x = ((3x / x) * (-1))|x = ((3 * (x / x)) * (-1))|x = ((3 * 1) * (-1))|x = (3 * (-1))|x = (-3)",39
28,28,40,"1 = (2x + 3)
","1 = (2x + 3)
|(1 - 3) = ((2x + 3) - 3)|((2x + 3) - 3) = (1 - 3)|(2x + (3 - 3)) = (1 - 3)|(2x + 0) = (1 - 3)|2x = (1 - 3)|(x * 2) = (1 - 3)|(x * 2) = (-2)|((x * 2) / 2) = ((-2) / 2)|(x * (2 / 2)) = ((-2) / 2)|(x * 1) = ((-2) / 2)|x = ((-2) / 2)|x = (-1)",23
29,29,41,"(1 + 2x) = (3x + 4)
","(1 + 2x) = (3x + 4)
|((1 + 2x) - 2x) = ((3x + 4) - 2x)|((3x + 4) - 2x) = ((1 + 2x) - 2x)|((4 + 3x) - 2x) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = ((1 + 2x) - 2x)|(4 + (3x - 2x)) = (1 + (2x - 2x))|(4 + (3x - 2x)) = (1 + 0)|(4 + (3x - 2x)) = 1|((4 + (3x - 2x)) - 4) = (1 - 4)|(((3x - 2x) + 4) - 4) = (1 - 4)|((((3 - 2) * x) + 4) - 4) = (1 - 4)|(((3 - 2) * x) + (4 - 4)) = (1 - 4)|(1x + (4 - 4)) = (1 - 4)|(1x + 0) = (1 - 4)|1x = (1 - 4)|1x = (-3)|x = (-3)",30
30,30,42,"1 = (((-2) / x) + (-3))
","1 = (((-2) / x) + (-3))
|(1 - (-3)) = ((((-2) / x) + (-3)) - (-3))|4 = ((((-2) / x) + (-3)) - (-3))|(4 / 4) = (((((-2) / x) + (-3)) - (-3)) / 4)|((4 / 4) * x) = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|1x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = ((((((-2) / x) + (-3)) - (-3)) / 4) * x)|x = (((((-2) / x) + ((-3) - (-3))) / 4) * x)|x = (((((-2) / x) + 0) / 4) * x)|x = ((((-2) / x) / 4) * x)|x = (x * (((-2) / x) / 4))|x = ((x * ((-2) / x)) / 4)|x = (((x * (-2)) / x) / 4)|x = ((-2x / x) / 4)|x = (((-2) * (x / x)) / 4)|x = (((-2) * 1) / 4)|x = ((-2) / 4)|x = ([-1/2])",37
31,31,43,"((-1) + -2x) = (-3)
","((-1) + -2x) = (-3)
|(((-1) + -2x) - (-1)) = ((-3) - (-1))|((-2x + (-1)) - (-1)) = ((-3) - (-1))|(-2x + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + ((-1) - (-1))) = ((-3) - (-1))|((x * (-2)) + 0) = ((-3) - (-1))|(x * (-2)) = ((-3) - (-1))|((x * (-2)) / (-2)) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = (((-3) - (-1)) / (-2))|(x * ((-2) / (-2))) = ((-2) / (-2))|(x * 1) = ((-2) / (-2))|x = ((-2) / (-2))|x = 1",22
32,32,44,"((-1) + 2x) = (-3x + (-4))
","((-1) + 2x) = (-3x + (-4))
|(((-1) + 2x) - (-4)) = ((-3x + (-4)) - (-4))|((-3x + (-4)) - (-4)) = (((-1) + 2x) - (-4))|(-3x + ((-4) - (-4))) = (((-1) + 2x) - (-4))|(-3x + 0) = (((-1) + 2x) - (-4))|((-3x + 0) - 2x) = ((((-1) + 2x) - (-4)) - 2x)|((-3x + 0) - 2x) = ((((-1) + 2x) - 2x) - (-4))|((-3x + 0) - 2x) = (((-1) + (2x - 2x)) - (-4))|((-3x + 0) - 2x) = (((-1) + 0) - (-4))|((-3x + 0) - 2x) = ((-1) - (-4))|(-3x - 2x) = ((-1) - (-4))|(((-3) - 2) * x) = ((-1) - (-4))|-5x = ((-1) - (-4))|(x * (-5)) = ((-1) - (-4))|(x * (-5)) = 3|((x * (-5)) / (-5)) = (3 / (-5))|(x * ((-5) / (-5))) = (3 / (-5))|(x * 1) = (3 / (-5))|x = (3 / (-5))|x = ([-3/5])",35
33,33,45,"(1x - -2x) = 3
","(1x - -2x) = 3
|((1 - (-2)) * x) = 3|3x = 3|(x * 3) = 3|((x * 3) / 3) = (3 / 3)|(x * (3 / 3)) = (3 / 3)|(x * 1) = (3 / 3)|x = (3 / 3)|x = 1",18
34,34,46,"((-1) + 2x) = (3x - 4)
","((-1) + 2x) = (3x - 4)
|(((-1) + 2x) - 2x) = ((3x - 4) - 2x)|((3x - 4) - 2x) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = (((-1) + 2x) - 2x)|((3x - 2x) - 4) = ((-1) + (2x - 2x))|((3x - 2x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = ((-1) + 0)|(((3 - 2) * x) - 4) = (-1)|(((3 - 2) * x) + (-4)) = (-1)|((((3 - 2) * x) + (-4)) - (-4)) = ((-1) - (-4))|(((3 - 2) * x) + ((-4) - (-4))) = ((-1) - (-4))|(1x + ((-4) - (-4))) = ((-1) - (-4))|(1x + 0) = ((-1) - (-4))|(1x + 0) = 3|1x = 3|x = 3",27
35,35,47,"(1 / x) = (2 + 3)
","(1 / x) = (2 + 3)
|(1 / x) = 5|((1 / x) / 5) = (5 / 5)|(((1 / x) / 5) * x) = ((5 / 5) * x)|(x * ((1 / x) / 5)) = ((5 / 5) * x)|((x * (1 / x)) / 5) = ((5 / 5) * x)|((x * (1 / x)) / 5) = 1x|(((x * 1) / x) / 5) = 1x|((x / x) / 5) = 1x|(1 / 5) = 1x|1x = (1 / 5)|x = (1 / 5)|x = [1/5]",28
